channel_name,total_subscribers,total_views,total_videos
Citizen TV Kenya YouTube channel avatarCitizen TV Kenya,4990000,2010000000,173960
KTN News Kenya YouTube channel avatarKTN News Kenya,2830000,786190000,146790
TechFreeze YouTube channel avatarTechFreeze,2830000,143740000,225
NTV Kenya YouTube channel avatarNTV Kenya,2460000,1010000000,93140
Alvins Audi YouTube channel avatarAlvins Audi,2360000,3420000000,2020
Churchill Television YouTube channel avatarChurchill Television,2340000,725540000,5190
Africha Entertainment YouTube channel avatarAfricha Entertainment,2110000,364050000,11620
DAUGLAS_FYP YouTube channel avatarDAUGLAS_FYP,2100000,230430000,2030
Sharma Boy YouTube channel avatarSharma Boy,1820000,419020000,149
SUPER TAMUTAMU YouTube channel avatarSUPER TAMUTAMU,1710000,125470000,1340
Otile Brown Official YouTube channel avatarOtile Brown Official,1480000,400270000,107
Astaan YouTube channel avatarAstaan,1400000,289770000,3300
RICHY HANIEL YouTube channel avatarRICHY HANIEL,1390000,295230000,2250
RDHDComps YouTube channel avatarRDHDComps,1380000,350350000,60
K24TV YouTube channel avatarK24TV,1370000,5600000,2410
Bahati Kenya,1350000,266840000,303
Simulizi Na Sauti,1340000,423010000,30490
Willy Paul Thee Pozze,1200000,258170000,232
Nation,1180000,539650000,73190
Sauti Sol,1100000,336360000,258
C.M.J32,1070000,449190000,18
Tuko / Tuco - Kenya,1060000,225530000,1810
TT Comedian,1060000,216510000,249
DIANA BAHATI,1060000,203150000,757
Urban Street +254,1010000,573560000,266
HeroSmashers,1010000,424140000,12
Africha Movies,996000,193530000,1060
Balanbaalis Studio,968000,297930000,1270
Lynn Ngugi,962000,129510000,415
Kenya Digital News,925000,343020000,44160
HackerSploit,924000,40800000,469
Nasra Abtidoon,909000,87640000,498
Ebru TV Kenya,894000,247990000,19080
Football Till I Die,893000,114320000,761
Salafmedia,842000,162460000,6700
Ngila creative's,840000,54940000,85
Khaligraph Jones,829000,108670000,104
Lii Caato Officiall,804000,56700000,345
DJ Lifa,783000,70500000,57
Ridhwan Issack,781000,92370000,520
Kenya Online Media,772000,150930000,2630
THE WAJESUS FAMILY,765000,164640000,761
Badbaado Channel,755000,173810000,4280
PPP TV,752000,1230000,267
Flaqo Raz,751000,130660000,247
Lil Baliil,728000,79580000,48
Msanii Records,702000,251360000,798
Muniir official,694000,63770000,785
Raage Abdi,687000,135560000,452
Henry DeSagu,675000,105790000,525
Guardian Angel Global,664000,148390000,572
Jalango TV,662000,77900000,1640
Nyashinski,656000,147530000,50
Maasai Sightings,653000,340020000,672
Inooro TV,652000,214560000,52540
NJUGUSH TV,650000,106510000,883
Switch TV,648000,88790000,7800
WILD AFRICAN SAFARI,643000,130760000,387
Crazy Kennar,642000,165480000,626
Abel Mutua,630000,100330000,429
Nadia Mukami #AfricanPopStar,629000,89940000,131
Africa Stories,628000,296390000,1000
Stephen Kasolo Official,627000,128510000,1730
Tileh Pacbro,619000,85930000,208
NOMADPROSTORY,612000,81340000,627
Fillaah Tube,604000,92460000,2520
Tunes Of Africa,585000,68220000,5430
Dogo Charlie,579000,116210000,101
KTN HOME,579000,44520000,9800
Eric Omondi,568000,62530000,206
New Life TV KENYA,564000,100530000,2520
Kenya News Alerts TV,563000,22080000,7260
Terence Creative,547000,95960000,1070
CHiTA MAGiC,535000,80320000,1960
Steel Inc Customs,530000,61280000,17
Zaki Somali,527000,20260000,364
Mejja Genge,524000,41130000,8
Nicholas Kioko,521000,82090000,1810
DJ PEREZ,516000,89140000,832
Amira’s Cuisine,506000,51010000,1360
FAM TV,503000,92790000,724
Akili and Me - Kiswahili,501000,185480000,823
Mapishi rahisi,496000,25900000,239
The Wicked Edition with Dr. King'ori,495000,77460000,868
Maisha Magic East,493000,90350000,1300
shukri masala,493000,66750000,1590
AJAABU TV,492000,20510000,4550
SHIRU WA GP . HSC,487000,146500000,162
Jim Nduruchi RUS,484000,830570000,3430
King Kaka,477000,50940000,395
MALAVIDAVI Kenya,477000,1370000,38
IMPANGA TV,475000,103390000,562
Monk Kenyan comedian,465000,63000000,199
Prince Indah,462000,109480000,65
Tigrai Tv,459000,166870000,28360
SSTV,459000,135310000,6320
Sammy Kioko,459000,36170000,219
Obinna TV,455000,64960000,1170
David Ndutumo,455000,421610,175
Presenter Ali,454000,50660000,1690
